song,year,place_final,points_final,to_country
Há Sempre Alguém,1990,20,9,Portugal
Brandenburger Tor,1990,21,8,Norway
Fri?,1990,21,8,Finland
Fångad Av En Stormvind,1991,1,146,Sweden
C'est Le Dernier Qui A Parlé Qui A Raison,1991,2,146,France
Kan,1991,3,139,Israel
Bailar Pegados,1991,4,119,Spain
Canzone Per Te,1991,5,118,Switzerland
Could It Be,1991,6,106,Malta
Comme E' Ddoce 'o Mare,1991,7,89,Italy
Lusitana Paixão,1991,8,62,Portugal
S.O.S.,1991,9,60,Cyprus
Could It Be That I'm In Love,1991,10,47,Ireland
A Message To Your Heart,1991,10,47,United Kingdom
Iki Dakika,1991,12,44,Turkey
I Anixi,1991,13,36,Greece
Un Baiser Volé,1991,14,29,Luxembourg
Nina,1991,15,26,Iceland
Geef Het Op,1991,16,23,Belgium
Mrs. Thompson,1991,17,14,Norway
Dieser Traum Darf Niemals Sterben,1991,18,10,Germany
Lige Der Hvor Hjertet Slår,1991,19,8,Denmark
Hullu Yö,1991,20,6,Finland
Brazil,1991,21,1,Yugoslavia
Venedig Im Regen,1991,22,0,Austria
Why Me,1992,1,155,Ireland
One Step Out Of Time,1992,2,139,United Kingdom
Little Child,1992,3,123,Malta
Rapsodia,1992,4,111,Italy
Olou Tou Kosmou tin Elpida,1992,5,94,Greece
Ze Rak Sport,1992,6,85,Israel
Nei Eða Já,1992,7,80,Iceland
Monté La Riviè,1992,8,73,France
Wijs Me De Weg,1992,9,67,Netherlands
Zusammen Geh'n,1992,10,63,Austria
Teriazoume,1992,11,57,Cyprus
Alt Det Som Ingen Ser,1992,12,47,Denmark
Ljubim Te Pesmama,1992,13,44,Yugoslavia
Todo Esto Es La Música,1992,14,37,Spain
Mister Music Man,1992,15,32,Switzerland
Träume Sind Für Alle Da,1992,16,27,Germany
Amor D'água Fresca,1992,17,26,Portugal
Visjoner,1992,18,23,Norway
Yaz Bitti,1992,19,17,Turkey
Nous On Veut Des Violons,1992,20,11,Belgium
Sou Fräi,1992,21,10,Luxembourg
I Morgon är En Annan Dag,1992,22,9,Sweden
Yamma Yamma,1992,23,4,Finland
In Your Eyes,1993,1,187,Ireland
Better The Devil You Know,1993,2,164,United Kingdom
Moi Tout Simplement,1993,3,148,Switzerland
Mama Corsica,1993,4,121,France
Alle Mine Tankar,1993,5,120,Norway
Vrede,1993,6,92,Netherlands
Eloïse,1993,7,89,Sweden
This Time,1993,8,69,Malta
Ellada Hora Tou Fotos,1993,9,64,Greece
A Cidade Até Ser Dia,1993,10,60,Portugal
Hombres,1993,11,58,Spain
Sole D'europa,1993,12,45,Italy
þá Veistu Svarið,1993,13,42,Iceland
Maria Magdalena,1993,14,32,Austria
Don't Ever Cry,1993,15,31,Croatia
Sva Bol Svijeta,1993,16,27,Bosnia & Herzegovina
Tule Luo,1993,17,20,Finland
Viel Zu Weit,1993,18,18,Germany
Mi Stamatas,1993,19,17,Cyprus
Donne-moi Une Chance,1993,20,11,Luxembourg
Esmer Yarim,1993,21,10,Turkey
Under Stjernerne På Himlen,1993,22,9,Denmark
Tih Dezeven Dan,1993,22,9,Slovenia
Shiru,1993,24,4,Israel
Iemand Als Jij,1993,25,3,Belgium
Rock 'n' Roll Kids,1994,1,226,Ireland
To Nie Ja!,1994,2,166,Poland
Wir Geben 'ne Party,1994,3,128,Germany
Kinek Mondjam El Vétkeimet,1994,4,122,Hungary
More Than Love,1994,5,97,Malta
Duett,1994,6,76,Norway
Je Suis Un Vrai Garçon,1994,7,74,France
Chamar A Música,1994,8,73,Portugal
Vechni Stranik,1994,9,70,Russia
We Will Be Free (lonely Symphony),1994,10,63,United Kingdom
Ime Anthropos Ke Ego,1994,11,51,Cyprus
Nætur,1994,12,49,Iceland
Stjärnorna,1994,13,48,Sweden
To Trehantiri,1994,14,44,Greece
Ostani Kraj Mene,1994,15,39,Bosnia & Herzegovina
Nek'ti Bude Ljubav Sva,1994,16,27,Croatia
Für Den Frieden Der Welt,1994,17,19,Austria
Ella No Es Ella,1994,18,17,Spain
Sto Pregando,1994,19,15,Switzerland
Nekovecná Piesen,1994,19,15,Slovakia
Dincolo De Nori,1994,21,14,Romania
Bye Bye Baby,1994,22,11,Finland
Waar Is De Zon,1994,23,4,Netherlands
Nagu Merelaine,1994,24,2,Estonia
Lopšinė mylimai,1994,25,0,Lithuania
Nocturne,1995,1,148,Norway
Vuelve Conmigo,1995,2,119,Spain
Se På Mej,1995,3,100,Sweden
Il Me Donne Rendez-vous,1995,4,94,France
Fra Mols Til Skagen,1995,5,92,Denmark
Nostalgija,1995,6,91,Croatia
Prisluhni Mi,1995,7,84,Slovenia
Amen,1995,8,81,Israel
Sti Fotia,1995,9,79,Cyprus
Keep Me In Mind,1995,10,76,Malta
Pia Prosefhi,1995,12,68,Greece
Die Welt Dreht Sich Verkehrt,1995,13,67,Austria
Dreamin',1995,14,44,Ireland
Núna,1995,15,31,Iceland
Sev!,1995,16,21,Turkey
Kolybelnaya Dlya Vulkana,1995,17,17,Russia
Sama,1995,18,15,Poland
Dvadeset I Prvi Vijek,1995,19,14,Bosnia & Herzegovina
La Voix Est Libre,1995,20,8,Belgium
Baunilha E Chocolate,1995,21,5,Portugal
Ùj Nèv Egy Règi Hàz Fàlan,1995,22,3,Hungary
Verliebt In Dich,1995,23,1,Germany
The Voice,1996,1,162,Ireland
I Evighet,1996,2,114,Norway
Den Vilda,1996,3,100,Sweden
Sveta Ljubav,1996,4,98,Croatia
Kaelakee Hääl,1996,5,94,Estonia
O Meu Coração Não Tem Cor,1996,6,92,Portugal
De Eerste Keer,1996,7,78,Netherlands
Ooh...Aah...Just A Little Bit,1996,8,77,United Kingdom
Mono Gia Mas,1996,9,72,Cyprus
In A Woman's Heart,1996,10,68,Malta
Weil's Dr Guat Got,1996,10,68,Austria
Besinçi Mevsim,1996,12,57,Turkey
Sjúbídú,1996,13,51,Iceland
Emis Forame To Himona Anixiatika,1996,14,36,Greece
Chce Znac Swój Grzech,1996,15,31,Poland
Mon Coeur L'aime,1996,16,22,Switzerland
Liefde Is Een Kaartspel,1996,16,22,Belgium
Kým Nás Máš,1996,18,19,Slovakia
Diwanit Bugale,1996,19,18,France
¡Ay Qué Deseo!,1996,20,17,Spain
Dan najlepših sanj,1996,21,16,Slovenia
Za Našu Ljubav,1996,22,13,Bosnia & Herzegovina
Niin Kaunis On Taivas,1996,23,9,Finland
Love Shine A Light,1997,1,227,United Kingdom
Mysterious Woman,1997,2,157,Ireland
Dinle,1997,3,121,Turkey
Fiumi Di Parole,1997,4,114,Italy
Mana Mou,1997,5,98,Cyprus
Sin Rencor,1997,6,96,Spain
Sentiments Songes,1997,7,95,France
Keelatud Maa,1997,8,82,Estonia
Let Me Fly,1997,9,66,Malta
Zbudi Se,1997,10,60,Slovenia
Ale Jestem,1997,11,54,Poland
Horepse,1997,12,39,Greece
Miert Kell Hogy Elmenj?,1997,12,39,Hungary
Bara Hon älskar Mig,1997,14,36,Sweden
Primadonna,1997,15,33,Russia
Stemmen I Mit Liv,1997,16,25,Denmark
Probudi Me,1997,17,24,Croatia
Zeit,1997,18,22,Germany
Goodbye,1997,18,22,Bosnia & Herzegovina
Minn Hinsti Dans,1997,20,18,Iceland
One Step,1997,21,12,Austria
Dentro Di Me,1997,22,5,Switzerland
Niemand Heeft Nog Tijd,1997,22,5,Netherlands
San Francisco,1997,24,0,Norway
Antes Do Adeus,1997,24,0,Portugal
Diva,1998,1,172,Israel
Where Are You?,1998,2,166,United Kingdom
The One That I Love,1998,3,165,Malta
Hemel En Aarde,1998,4,150,Netherlands
Neka Mi Ne Svane,1998,5,131,Croatia
Dis Oui,1998,6,122,Belgium
Guildo Hat Euch Lieb,1998,7,86,Germany
Alltid Sommer,1998,8,79,Norway
