performer
Lys Assia
Pollapönk
Teo
Molly
Elaiza
Sergej Ćetković
Freaky Fortune feat. RiskyKidd
Dilara Kazimova
Firelight
Tinkara Kovač
TWIN TWIN
Suzy
Vilija Matačiūnaitė
Can-Linn feat. Kasey Smith
Tanja
Tijana
Aarzemnieki
Axel Hirsoux
Hersi
Mei Finegold
The Shin and Mariko
Cristina Scarlat
Måns Zelmerlöw
Polina Gagarina
Il Volo
Loïc Nottet
Guy Sebastian
Aminata Savadogo
Elina Born & Stig Rästa
Mørland & Debrah Scarlett
Nadav Guedj
Bojana Stamenov
Nina Sublatti
Elnur Hüseynov
Knez
Maraaya
Voltaj
Genealogy
Elhaida Dani
Monika & Vaidas
Maria Elena Kyriakou
Boggie
Edurne
John Karayiannis
Monika Kuszyńska
Electro Velvet
Lisa Angell
The Makemakes
Ann Sophie
Eduard Romanyuta
Amber
Uzari & Maimuna
Molly Sterling
Anti Social Media
Trijntje Oosterhuis
Marta Jandová & Václav Noid Bárta
Daniel Kajmakoski
Leonor Andrade
María Ólafsdóttir
Pertti Kurikan Nimipäivät
Michele Perniola & Anita Simoncini
Mélanie René
Jamala
Dami Im
Sergey Lazarev
Frans
Amir
Iveta Mukuchyan
Michał Szpak
Laura Tesoro
Douwe Bob
Zoë
Hovi Star
Justs
Francesca Michielin
Samra
Sanja Vučić ZAA
Freddie
Nika Kocharov & Young Georgian Lolitaz
Minus One
Barei
Nina Kraljić
Joe & Jake
Gabriela Gunčíková
Jamie-Lee Kriewitz
Dalal & Deen feat. Ana Rucner & Jala
Ivan
Serhat
Agnete
Highway
ManuElla
Greta Salóme
Sandhja
Nicky Byrne
Eneda Tarifa
Argo
Lighthouse X
Lidia Isac
Rykka
Jüri Pootsmann
Salvador Sobral
Kristian Kostov
Sunstroke Project
Blanche
Robin Bengtsson
Francesco Gabbani
Ilinca feat. Alex Florea
Joci Pápai
Isaiah Firebrace
Jowst
OG3NE
Alma
Jacques Houdek
Dihaj
Lucie Jones
Nathan Trent
Naviband
Artsvik
Demy
Anja
Hovig
Kasia Moś
Imri Ziv
O.Torvald
Levina
Manel Navarro
Tamara Gachechiladze
Tijana Bogićević
Timebelle
Norma John
Brendan Murray
Koit Toome & Laura
Martina Bárta
Lindita
Jana Burčeska
Svala
Slavko Kalezić
Claudia Faniello
Fusedmarc
Triana Park
Valentina Monetta & Jimmie Wilson
Netta Barzilai
Eleni Foureira
Cesár Sampson
Michael Schulte
Ermal Meta & Fabrizio Moro
Mikolas Josef
Benjamin Ingrosso
Elina Nechayeva
Rasmussen
DoReDos
Eugent Bushpepa
Ieva Zasimauskaitė
Madame Monsieur
Equinox
Ryan O'Shaughnessy
Mélovin
Waylon
Sanja Ilić & Balkanika
Jessica Mauboy
AWS
Lea Sirk
Amaia & Alfred
SuRie
Saara Aalto
Cláudia Pascoal
The Humans
Laura Rizzotto
Christabelle
Aisel
Sennek
Zibbz
Gromee feat. Lukas Meijer
Yianna Terzi
Sevak Khanagyan
Julia Samoylova
Alekseev
Franka
Vanja Radovanović
Jessika feat. Jenifer Brening
Ethno-Jazz Band Iriao
Eye Cue
Ari Ólafsson
Duncan Laurence
Mahmood
Luca Hänni
John Lundvik
KEiiNO
Tamara Todevska
Chingiz
Kate Miller-Heidke
Hatari
Lake Malawi
Leonora
Tamta
Michela Pace
Zala Kralj & Gašper Šantl
Bilal Hassani
Jonida Maliqi
Nevena Božović
Victor Crone
Katerine Duska
Miki
Kobi Marimi
Zena
S!sters
Michael Rice
Tulia
Jurij Veklenko
Anna Odobescu
Eliot
Ester Peony
Oto Nemsadze
Roko
Conan Osíris
Carousel
Srbuk
D mol
Darude feat. Sebastian Rejman
Pænda
Sarah McTernan
Tom Leeb
Ben Dolic
Diodato
Jeangu Macrooy
Blas Cantó
James Newman
Montaigne
VAL
Lesley Roy
The Roop
Vasil
Little Big
Ana Soklič
The Mamas
Samira Efendi
Hooverphonic
Damir Kedžo
Sandro Nicolas
Eden Alene
Destiny
Ulrikke Brandstorp
Roxen
Go_A
Vincent Bueno
Benny Cristo
Uku Suviste
Stefania
Daði & Gagnamagnið
Natalia Gordienko
Alicja Szemplińska
Senhit
Hurricane
Arilena Ara
Athena Manoukian
Victoria
Ben & Tan
Aksel Kankaanranta
Tornike Kipiani
Samanta Tīna
Elisa
Gjon's Tears
