,year,performer,song
390,1980,Sophie and Magaly,Papa Pingouin
391,1980,Tomas Ledin,Just Nu!
392,1980,Profil,"Hé, Hé M'sieurs Dames"
393,1980,Trigo Limpio,Quédate Esta Noche
394,1980,Anna Vissi and the Epikouri,Otostop
395,1980,Bamses Venner,Tænker Altid På Dig
396,1980,Ajda Pekkan,Petr'oil
397,1980,Sverre Kjellsberg & Mattis Hætta,Sámiid Ædnan
398,1980,Telex,Euro-vision
399,1980,Samira Bensaïd,Bitakat Hob
400,1980,Vesa-Matti Loiri,Huilumies
401,1981,Bucks Fizz,Making Your Mind Up
402,1981,Lena Valaitis,Johnny Blue
403,1981,Jean Gabilou,Humanahum
404,1981,"Peter, Sue and Marc",Io Senza Tei
405,1981,Sheeba,Horoscopes
406,1981,Island,Monika
407,1981,Habibi,Halaylah
408,1981,Yiannis Dimitras,Feggari Kalokerino
409,1981,Linda Williams,Het Is Een Wonder
410,1981,Björn Skifs,Fångad I En Dröm
411,1981,Jean-Claude Pascal,C'est Peut-être Pas L'Amérique
412,1981,Debbie Cameron and Tommy Seebach,Krøller Eller Ej
413,1981,Emly Starr,Samson
414,1981,Bacchelli,Y Solo Tú
415,1981,Seid-Memic Vajta,Leila
416,1981,Riki Sorsa,Reggae O.k.
417,1981,Marty Brem,Wenn Du Da Bist
418,1981,Modern Folk Trio and Aysegül,Dönme Dolap
419,1981,Carlos Paião,Play-back
420,1981,Finn Kalvik,Aldri i Livet
421,1982,Nicole,Ein Bißchen Frieden
422,1982,Avi Toledano,Hora
423,1982,Arlette Zola,Amour On T'aime
424,1982,Stella,Si Tu Aimes Ma Musique
425,1982,Anna Vissi,Mono I Agapi
426,1982,Svetlana,Cour Apres Le Temps
427,1982,Bardo,One Step Further
428,1982,Chips,Dag Efter Dag
429,1982,Mess,Sonntag
430,1982,Lucía,Él
431,1982,The Duskeys,"Here Today, Gone Tomorrow"
432,1982,Jahn Teigen & Anita Skorgan,Adieu
433,1982,Doce,Bem-bom
434,1982,Aska,Halo Halo
435,1982,Neço,Hani
436,1982,Bill van Dijk,Jij En Ik
437,1982,Brixx,Video-video
438,1982,Kojo,Nuku Pommiin
