year,to_country,song
1979,Finland,Katson Sineen Taivaan
1979,Italy,Raggio Di Luna
1979,Monaco,Notre Vie C'est La Musique
1979,Sweden,Satellit
1979,Belgium,Hey Nana
1979,Austria,Heute In Jerusalem
1980,Ireland,What's Another Year
1980,Germany,Theater
1980,United Kingdom,Love Enough For Two
1980,Switzerland,Cinéma
1980,Netherlands,Amsterdam
1980,Italy,Non So Che Darei
1980,Portugal,Um Grande Grande Amor
1980,Austria,Du Bist Musik
1980,Luxembourg,Papa Pingouin
1980,Sweden,Just Nu!
1980,France,Hé Hé M'sieurs Dames
1980,Spain,Quédate Esta Noche
1980,Greece,Otostop
1980,Denmark,Tænker Altid På Dig
1980,Turkey,Petr'oil
1980,Norway,Sámiid Ædnan
1980,Belgium,Euro-vision
1980,Morocco,Bitakat Hob
1980,Finland,Huilumies
1981,United Kingdom,Making Your Mind Up
1981,Germany,Johnny Blue
1981,France,Humanahum
1981,Switzerland,Io Senza Tei
1981,Ireland,Horoscopes
1981,Cyprus,Monika
1981,Israel,Halaylah
1981,Greece,Feggari Kalokerino
1981,Netherlands,Het Is Een Wonder
1981,Sweden,Fångad I En Dröm
1981,Luxembourg,C'est Peut-être Pas L'Amérique
1981,Denmark,Krøller Eller Ej
1981,Belgium,Samson
1981,Spain,Y Solo Tú
1981,Yugoslavia,Leila
1981,Finland,Reggae O.k.
1981,Austria,Wenn Du Da Bist
1981,Turkey,Dönme Dolap
1981,Portugal,Play-back
1981,Norway,Aldri i Livet
1982,Germany,Ein Bißchen Frieden
1982,Israel,Hora
1982,Switzerland,Amour On T'aime
1982,Belgium,Si Tu Aimes Ma Musique
1982,Cyprus,Mono I Agapi
1982,Luxembourg,Cour Apres Le Temps
1982,United Kingdom,One Step Further
1982,Sweden,Dag Efter Dag
1982,Austria,Sonntag
1982,Spain,Él
1982,Ireland,Here Today Gone Tomorrow
1982,Norway,Adieu
1982,Portugal,Bem-bom
1982,Yugoslavia,Halo Halo
1982,Turkey,Hani
1982,Netherlands,Jij En Ik
1982,Denmark,Video-video
1982,Finland,Nuku Pommiin
1983,Luxembourg,Si La Vie Est Cadeau
1983,Israel,Hi
1983,Sweden,Främling
1983,Yugoslavia,Dzuli
1983,Germany,Rücksicht
1983,United Kingdom,I'm Never Giving Up
1983,Netherlands,Sing Me A Song
1983,France,Vivre
1983,Norway,Do Re Mi
1983,Austria,Hurricane
1983,Italy,Per Lucia
1983,Finland,Fantasiaa
1983,Portugal,Esta Balada Que Te Dou
1983,Greece,Mou Les
1983,Switzerland,Io Così Non Ci Sto
1983,Cyprus,I Agapi Akoma Zi
1983,Denmark,Kloden Drejer
1983,Belgium,Rendez-vous
1983,Turkey,Opera
1983,Spain,¿Quién Maneja Mi Barca?
1984,Sweden,Diggi-loo Diggy-ley
1984,Ireland,Terminal '3'
1984,Spain,Lady Lady
1984,Denmark,Det' Lige Det
1984,Belgium,Avanti La Vie
1984,Italy,I Treni Di Tozeur
1984,United Kingdom,Love Games
1984,France,Autant D'amoureux Que D'étoiles
1984,Finland,Hengaillaan
1984,Luxembourg,100% D'amour
1984,Portugal,Silêncio E Tanta Gente
1984,Turkey,Halay
1984,Netherlands,Ik Hou Van Jou
1984,Germany,Aufrecht Geh'n
1984,Cyprus,Anna Maria Lena
1984,Switzerland,Welche Farbe Hat Der Sonnenschein
1984,Norway,Lenge Leve Livet
1984,Yugoslavia,Ciao Amore
1984,Austria,Einfach Weg
1985,Norway,La Det Swinge
1985,Germany,Für Alle
1985,Sweden,Bra Vibrationer
1985,United Kingdom,Love Is...
1985,Israel,Olé Olé
1985,Ireland,Wait Until The Weekend Comes
1985,Italy,Magic Oh Magic
1985,Austria,Kinder Dieser Welt
1985,Finland,Eläköön Elämä
1985,France,Femme Dans Ses Rêves Aussi
1985,Denmark,Sku' Du Spør Fra No'n
1985,Switzerland,Piano Piano
1985,Luxembourg,Children Kinder Enfants
1985,Spain,La Fiesta Terminó
1985,Turkey,Di Dai Di Dai Dai (Aşık oldum)
1985,Cyprus,To Katalava Arga
1985,Greece,Miazoume
1985,Portugal,Penso Em Ti Eu Sei
1985,Belgium,Laat Me Nu Gaan
1986,Belgium,J'aime La Vie
1986,Switzerland,Pas Pour Moi
1986,Luxembourg,L'amour De Ma Vie
1986,Ireland,You Can Count On Me
1986,Sweden,E' De' Det Här Du Kallar Kärlek
1986,Denmark,Du Er Fuld Af Løgn
1986,United Kingdom,Runner In The Night
1986,Germany,Über Die Brücke Geh'n
1986,Turkey,Halley
1986,Spain,Valentino
1986,Yugoslavia,Željo Moja
1986,Norway,Romeo
1986,Netherlands,Alles Heeft Ritme
1986,Portugal,Não Sejas Mau Para Mim
1986,Finland,Päivä Kahden Ihmisen
1986,Iceland,Gleðibankinn
1986,France,Européennes
1986,Austria,Die Zeit Ist Einsam
1986,Israel,Yavoh Yom
1986,Cyprus,Tora Zo
1987,Ireland,Hold Me Now
1987,Germany,Laß Die Sonne In Dein Herz
1987,Italy,Gente Di Mare
1987,Yugoslavia,Ja Sam Za Ples
1987,Netherlands,Rechtop In De Wind
1987,Denmark,En Lille Melodi
1987,Cyprus,Aspro Mavro
1987,Israel,Shir Habatlanim
1987,Norway,Mitt Liv
1987,Greece,Stop!
1987,Belgium,Soldiers Of Love
1987,Sweden,Boogaloo
1987,United Kingdom,Only The Light
1987,France,Les Mots D'amour N'ont Pas De Dimanche
1987,Finland,Sata Salamaa
1987,Iceland,Hægt Og Hljótt
1987,Switzerland,Moitié Moitié
1987,Portugal,Neste Barco à Vela
1987,Spain,No Estás Solo
1987,Austria,Nur Noch Gefühl
