,year,to_country,performer,song,place_final,points_final
267,1973,Netherlands,Ben Cramer,De Oude Muzikant,14.0,69.0
268,1973,Yugoslavia,Zdravko Colic,Gori Vatra,15.0,65.0
269,1973,France,Martine Clémenceau,Sans Toi,15.0,65.0
270,1973,Belgium,Nicole and Hugo,"Baby, Baby",17.0,58.0
271,1974,Sweden,ABBA,Waterloo,1.0,24.0
272,1974,Italy,Gigliola Cinquetti,Si,2.0,18.0
273,1974,Netherlands,Mouth and MacNeal,I See A Star,3.0,15.0
274,1974,United Kingdom,Olivia Newton-John,Long Live Love,4.0,14.0
275,1974,Luxembourg,Ireen Sheer,"Bye, Bye, I Love You",4.0,14.0
276,1974,Monaco,Romuald,Celui Qui Reste Et Celui Qui S'en Va,4.0,14.0
277,1974,Israel,Kaveret (Poogy),Natati La Khayay,7.0,11.0
278,1974,Ireland,Tina,Cross Your Heart,7.0,11.0
279,1974,Spain,Peret,Canta Y Se Feliz,9.0,10.0
280,1974,Belgium,Jacques Hustin,Fleur De Liberté,9.0,10.0
281,1974,Greece,Marinella,"Krassi, Thalassa Ke T'agori Mou",11.0,7.0
282,1974,Yugoslavia,Korni,Moja Generacija,12.0,6.0
283,1974,Finland,Carita,Äla Mene Pois (keep Me Warm),13.0,4.0
284,1974,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,14.0,3.0
285,1974,Germany,Cindy und Bert,Die Sommermelodie,14.0,3.0
286,1974,Switzerland,Piera Martell,Mein Ruf Nach Dir,14.0,3.0
287,1974,Portugal,Paulo de Carvalho,E Depois Do Adeus,14.0,3.0
288,1975,Netherlands,Teach-In,Ding-A-Dong,1.0,152.0
289,1975,United Kingdom,The Shadows,Let Me Be The One,2.0,138.0
290,1975,Italy,Wess & Dori Ghezzi,Era,3.0,115.0
291,1975,France,Nicole Rieu,Et Bonjour à Toi L'artiste,4.0,91.0
292,1975,Luxembourg,Géraldine,Toi,5.0,84.0
293,1975,Switzerland,Simone Drexel,Mikado,6.0,77.0
294,1975,Finland,Pihasoittajat,Old Man Fiddle,7.0,74.0
295,1975,Sweden,Lars Berghagen and the Dolls,"Jennie, Jennie",8.0,72.0
296,1975,Ireland,The Swarbriggs,That's What Friends Are For,9.0,68.0
297,1975,Spain,Sergio & Estíbaliz,Tú Volverás,10.0,53.0
298,1975,Israel,Shlomo Artzi,At Va'Ani,11.0,40.0
299,1975,Malta,Renato,Singing This Song,12.0,32.0
300,1975,Yugoslavia,Pepel In Kri,Dan Ljubezni,13.0,22.0
301,1975,Monaco,Sophie,Une Chanson C'est Une Lettre,13.0,22.0
